order	Country_Other	Total_Cases	Total_Deaths	Total_Recovered	Active_Cases	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population
168	Cayman_Islands	30,809	34	8,553	22,222	456,612	504	222,773	3,301,661	67,473
169	Saint_Lucia	29,55	404	29,095	51	159,273	2,178	210,983	1,137,185	185,531
170	Benin	27,782	163	27,464	155	2,163	13	604,31	47,05	12,844,050
171	Somalia	27,223	1,361	13,182	12,68	1,611	81	400,466	23,696	16,899,849
172	Congo	24,837	386	24,006	445	4,263	66	347,815	59,696	5,826,407
173	Timor-Leste	23,253	138	23,102	13	16,906	100	278,529	202,501	1,375,442
174	Burkina_Faso	21,631	387	21,143	101	974	17	248,995	11,214	22,204,508
175	Solomon_Islands	21,544	153	16,357	5,034	29,711	211	5,117	7,057	725,121
176	San_Marino	21,053	118	20,692	243	617,517	3,461	157,634	4,623,647	34,093
177	Liechtenstein	20,143	86	19,678	379	524,885	2,241	102,174	2,662,445	38,376
178	Gibraltar	20,095	108	16,579	3,408	596,858	3,208	534,283	15,869,164	33,668
179	Grenada	19,536	237	19,248	51	171,812	2,084	179,808	1,581,341	113,706
180	Nicaragua	18,491	225	4,225	14,041	2,718	33	NA	NA	6,803,416
181	Bermuda	18,22	148	17,997	75	295,032	2,397	1,008,999	16,338,477	61,756
182	South_Sudan	17,823	138	17,335	350	1,551	12	410,28	35,703	11,491,546
183	Tajikistan	17,786	125	17,264	397	1,774	12	NA	NA	10,023,915
184	Equatorial_Guinea	17,04	183	16,707	150	11,302	121	365,697	242,563	1,507,640
185	Tonga	16,182	12	15,638	532	149,263	111	535,009	4,934,916	108,413
186	Samoa	15,941	29	1,605	14,307	79,149	144	187,397	930,449	201,405
187	Dominica	15,76	74	15,673	13	217,704	1,022	229,344	3,168,085	72,392
188	Djibouti	15,69	189	15,427	74	15,373	185	305,941	299,763	1,020,608
189	Marshall_Islands	15,275	17	15,166	92	254,177	283	NA	NA	60,096
190	CAR	14,957	113	14,536	308	2,979	23	81,294	16,193	5,020,361
191	Monaco	14,717	63	14,591	63	369,097	1,58	78,646	1,972,412	39,873
192	Gambia	12,508	372	12,028	108	4,865	145	155,686	60,559	2,570,801
193	Saint_Martin	11,978	63	1,399	10,516	298,235	1,569	112,382	2,798,148	40,163
